class_id,name,sand_pct,silt_pct,clay_pct,porosity,pore_size_distribution,bubbling_pressure_m,field_capacity,wilting_point,residual_water_content,bulk_density_kgm3,vertical_conductivity_ms,lateral_conductivity_ms,max_infiltration_ms,capillary_drive_m,exponential_decrease,depth_threshold_m,mannings_n,surface_albedo,thermal_conductivity_wmk,thermal_capacity_jm3k
1,SAND,92,5,3,0.395,0.2469,0.121,0.135,0.068,0.020,1600,1.760e-04,1.760e-03,1.056e-04,0.0500,3.0,0.5,0.015,0.15,7.114,1.400e6
2,LOAMY SAND,82,12,6,0.410,0.2283,0.090,0.150,0.075,0.035,1550,1.560e-04,1.560e-03,9.360e-05,0.0700,3.0,0.5,0.015,0.15,7.114,1.400e6
3,SANDY LOAM,65,25,10,0.435,0.2041,0.218,0.195,0.114,0.041,1500,3.470e-05,3.470e-04,2.082e-05,0.1300,2.5,0.5,0.020,0.14,6.923,1.400e6
4,SILT LOAM,20,65,15,0.485,0.1887,0.786,0.255,0.133,0.015,1350,7.190e-06,7.190e-05,4.314e-06,0.2100,2.5,0.5,0.025,0.13,5.882,1.500e6
5,SILT,8,86,6,0.480,0.1852,0.900,0.260,0.135,0.015,1350,6.000e-06,6.000e-05,3.600e-06,0.2300,2.5,0.5,0.025,0.13,5.800,1.500e6
6,LOAM,40,40,20,0.451,0.1855,0.478,0.240,0.117,0.027,1450,6.940e-06,6.940e-05,4.164e-06,0.1800,2.0,0.5,0.025,0.13,6.500,1.450e6
7,SANDY CLAY LOAM,60,15,25,0.420,0.1404,0.299,0.255,0.148,0.068,1500,6.310e-06,6.310e-05,3.786e-06,0.1600,2.0,0.5,0.030,0.12,6.000,1.500e6
8,SILTY CLAY LOAM,10,55,35,0.477,0.1290,0.356,0.322,0.208,0.040,1300,1.690e-06,1.690e-05,1.014e-06,0.2600,1.5,0.5,0.035,0.11,4.500,1.600e6
9,CLAY LOAM,30,35,35,0.476,0.1174,0.630,0.310,0.197,0.075,1350,2.450e-06,2.450e-05,1.470e-06,0.2500,1.5,0.5,0.035,0.11,5.000,1.550e6
10,SANDY CLAY,50,10,40,0.426,0.0962,0.153,0.293,0.195,0.109,1450,2.170e-06,2.170e-05,1.302e-06,0.2000,1.5,0.5,0.035,0.11,5.500,1.550e6
11,SILTY CLAY,8,47,45,0.492,0.0962,0.490,0.339,0.226,0.056,1300,1.030e-06,1.030e-05,6.180e-07,0.3000,1.0,0.5,0.040,0.10,4.000,1.650e6
12,CLAY,25,25,50,0.482,0.0877,0.405,0.347,0.240,0.090,1350,1.280e-06,1.280e-05,7.680e-07,0.3200,1.0,0.5,0.040,0.10,4.200,1.600e6
